episode,step,return,length,return_ma,return_std,length_ma,epsilon
1,7132,3.0,1783,3.0,0.0,1783.0,0.967924
2,14264,-12.0,1783,-4.5,7.5,1783.0,0.9358299999999999
3,21384,-2.0,1780,-3.6666666666666665,6.236095644623235,1782.0,0.90379
4,28508,1.0,1781,-2.5,5.766281297335398,1781.75,0.871732
5,35648,4.0,1785,-1.2,5.775811631277461,1782.4,0.839602
6,42764,8.0,1779,0.3333333333333333,6.289320754704403,1781.8333333333333,0.80758
7,49896,2.0,1783,0.5714285714285714,5.851914042361154,1782.0,0.775486
8,57028,6.0,1783,1.25,5.7608593109014565,1782.125,0.743392
9,64140,-2.0,1778,0.8888888888888888,5.526591162420394,1781.6666666666667,0.711388
10,71276,-2.0,1784,0.6,5.314132102234569,1781.9,0.679276
11,78408,-8.0,1783,-0.18181818181818182,5.6378297213504185,1782.0,0.6471819999999999
12,85544,-10.0,1784,-1.0,6.041522986797286,1782.1666666666667,0.61507
13,92668,1.0,1781,-0.8461538461538461,5.828921972453117,1782.076923076923,0.583012
14,99788,-5.0,1780,-1.1428571428571428,5.717856027482715,1781.9285714285713,0.550972
15,106920,-9.0,1783,-1.6666666666666667,5.861361237422204,1782.0,0.518878
16,114032,-13.0,1778,-2.375,6.303520841561484,1781.75,0.48687400000000003
17,121156,-7.0,1781,-2.6470588235294117,6.211385906453787,1781.7058823529412,0.454816
18,128288,-3.0,1783,-2.6666666666666665,6.036923425424944,1781.7777777777778,0.42272199999999993
19,135424,-1.0,1784,-2.5789473684210527,5.887683750389311,1781.8947368421052,0.39061
20,142564,-23.0,1785,-3.6,7.262231062146122,1782.05,0.35848
21,149692,-10.0,1782,-3.9047619047619047,7.217074739841172,1782.047619047619,0.326404
22,156824,-2.0,1783,-3.8181818181818183,7.062296585237074,1782.090909090909,0.29430999999999996
23,163936,-6.0,1778,-3.9130434782608696,6.92137862290367,1781.9130434782608,0.26230599999999993
24,171064,-3.0,1782,-3.875,6.778105069511193,1781.9166666666667,0.23022999999999993
25,178208,0.0,1786,-3.72,6.684429669014403,1782.08,0.19808199999999998
26,185348,-15.0,1785,-4.153846153846154,6.904247899174424,1782.1923076923076,0.165952
27,192464,0.0,1779,-4.0,6.820448556987914,1782.0740740740741,0.13393
28,199576,-16.0,1778,-4.428571428571429,7.058068186877501,1781.9285714285713,0.10192599999999996
29,206696,-12.0,1780,-4.689655172413793,7.0715722695771515,1781.8620689655172,0.1
30,213816,-1.0,1780,-4.566666666666666,6.984188491792651,1781.8,0.1
31,220928,-6.0,1778,-4.612903225806452,6.8752826070001385,1781.6774193548388,0.1
32,228044,-33.0,1779,-5.5,8.37779804005802,1781.59375,0.1
33,235180,-5.0,1784,-5.484848484848484,8.250330432762704,1781.6666666666667,0.1
34,242292,-12.0,1778,-5.676470588235294,8.202297340434548,1781.5588235294117,0.1
35,249420,-38.0,1782,-6.6,9.71361342211464,1781.5714285714287,0.1
36,256548,-10.0,1782,-6.694444444444445,9.594035891706787,1781.5833333333333,0.1
37,263688,-35.0,1785,-7.45945945945946,10.517924455088611,1781.6756756756756,0.1
38,270828,-28.0,1785,-8.0,10.886979185682026,1781.7631578947369,0.1
39,277696,-53.0,1717,-9.153846153846153,12.887160100794544,1780.1025641025642,0.1
40,284836,-13.0,1785,-9.25,12.739211121572637,1780.225,0.1
41,291956,-7.0,1780,-9.195121951219512,12.58768176838774,1780.219512195122,0.1
42,299088,-20.0,1783,-9.452380952380953,12.545540624826058,1780.2857142857142,0.1
43,306228,-10.0,1785,-9.465116279069768,12.39907880525958,1780.3953488372092,0.1
44,313360,-2.0,1783,-9.295454545454545,12.307757246133514,1780.4545454545455,0.1
45,320492,-13.0,1783,-9.377777777777778,12.18248084366123,1780.5111111111112,0.1
46,327608,-2.0,1779,-9.217391304347826,12.097274295006294,1780.4782608695652,0.1
47,334724,-6.0,1779,-9.148936170212766,11.976890377872936,1780.4468085106382,0.1
48,341868,-20.0,1786,-9.375,11.95237947021429,1780.5625,0.1
49,349008,-17.0,1785,-9.53061224489796,11.878813313947028,1780.6530612244899,0.1
50,356140,-25.0,1783,-9.84,11.957190305418743,1780.7,0.1
51,363276,-22.0,1784,-10.07843137254902,11.958823368665387,1780.764705882353,0.1
52,370396,-8.0,1780,-10.038461538461538,11.846715770888276,1780.75,0.1
53,377528,-3.0,1783,-9.90566037735849,11.773433719396982,1780.7924528301887,0.1
54,384644,-14.0,1779,-9.981481481481481,11.676964884606091,1780.7592592592594,0.1
55,391764,-16.0,1780,-10.090909090909092,11.598232980263107,1780.7454545454545,0.1
56,398884,-3.0,1780,-9.964285714285714,11.532507294157499,1780.732142857143,0.1
