episode,step,return,length,return_ma,return_std,length_ma,epsilon
1,2976,15.0,744,15.0,0.0,744.0,0.986626
2,6084,22.0,777,18.5,3.5,760.5,0.97264
3,8940,18.0,714,18.333333333333332,2.8674417556808756,745.0,0.959788
4,13008,18.0,1017,18.25,2.48746859276655,813.0,0.941482
5,14268,3.0,315,15.2,6.49307323229917,713.4,0.935812
6,16176,13.0,477,14.833333333333334,5.983774357005414,674.0,0.927226
7,16684,0.0,127,12.714285714285714,7.591617288906527,595.8571428571429,0.92494
8,21620,26.0,1234,14.375,8.350711047569542,675.625,0.902728
9,22364,4.0,186,13.222222222222221,8.521577550584004,621.2222222222222,0.89938
10,25264,16.0,725,13.5,8.127115109311545,631.6,0.88633
11,26044,2.0,195,12.454545454545455,8.424678427784068,591.9090909090909,0.8828199999999999
12,29680,26.0,909,13.583333333333334,8.89249058975543,618.3333333333334,0.866458
13,30452,5.0,193,12.923076923076923,8.844481447264497,585.6153846153846,0.862984
14,32172,5.0,430,12.357142857142858,8.763619138698536,574.5,0.855244
15,34216,15.0,511,12.533333333333333,8.49208782076325,570.2666666666667,0.846046
16,38956,23.0,1185,13.1875,8.60391444343794,608.6875,0.824716
17,40232,4.0,319,12.647058823529411,8.62241385931142,591.6470588235294,0.818974
18,43396,16.0,791,12.833333333333334,8.414603707576225,602.7222222222222,0.804736
19,45616,11.0,555,12.736842105263158,8.20039861202624,600.2105263157895,0.794746
20,48484,15.0,717,12.85,8.007964785137357,606.05,0.78184
21,52156,9.0,918,12.666666666666666,7.857864324740644,620.9047619047619,0.765316
22,55260,12.0,776,12.636363636363637,7.678455423192246,627.9545454545455,0.751348
23,58600,13.0,835,12.652173913043478,7.51004368453788,636.9565217391304,0.736318
24,59580,2.0,245,12.208333333333334,7.6538615889119805,620.625,0.731908
25,61564,8.0,496,12.04,7.544428407772188,615.64,0.72298
26,62328,2.0,191,11.653846153846153,7.645724334012833,599.3076923076923,0.719542
27,65424,8.0,774,11.518518518518519,7.534465845897133,605.7777777777778,0.7056100000000001
28,71628,13.0,1551,11.571428571428571,7.403804868485679,639.5357142857143,0.677692
29,73056,3.0,357,11.275862068965518,7.44124828110009,629.7931034482758,0.6712659999999999
30,78408,10.0,1338,11.233333333333333,7.319760166077089,653.4,0.6471819999999999
31,79832,2.0,356,10.935483870967742,7.383221972916212,643.8064516129032,0.640774
32,81400,2.0,392,10.65625,7.431391924632962,635.9375,0.633718
33,85332,10.0,983,10.636363636363637,7.318793499751925,646.4545454545455,0.616024
34,87080,4.0,437,10.441176470588236,7.2970226662925715,640.2941176470588,0.608158
35,90956,6.0,969,10.314285714285715,7.229982922609465,649.6857142857143,0.590716
36,95684,12.0,1182,10.36111111111111,7.134239731268488,664.4722222222222,0.56944
37,99380,8.0,924,10.297297297297296,7.047579093119599,671.4864864864865,0.552808
38,101304,4.0,481,10.131578947368421,7.026907130645365,666.4736842105264,0.5441499999999999
39,102696,2.0,348,9.923076923076923,7.054311703452539,658.3076923076923,0.537886
40,103384,3.0,172,9.75,7.048936089935842,646.15,0.53479
41,108240,8.0,1214,9.707317073170731,6.967674148939951,660.0,0.512938
42,109984,4.0,436,9.571428571428571,6.938995594748967,654.6666666666666,0.50509
43,111380,2.0,349,9.395348837209303,6.952127112613844,647.5581395348837,0.49880800000000003
44,112064,3.0,171,9.25,6.938446905075044,636.7272727272727,0.49573
45,114876,9.0,703,9.244444444444444,6.861018892767574,638.2,0.48307599999999995
46,116312,3.0,359,9.108695652173912,6.846859835210925,632.1304347826087,0.476614
47,121860,9.0,1387,9.106382978723405,6.773647443077808,648.1914893617021,0.45164799999999994
48,123824,8.0,491,9.083333333333334,6.704579695170226,644.9166666666666,0.44281000000000004
49,129060,7.0,1309,9.040816326530612,6.642347702964697,658.469387755102,0.41924799999999995
50,130336,0.0,319,8.86,6.69629748443123,651.68,0.41350600000000004
51,134728,4.0,1098,8.764705882352942,6.66447484153814,660.4313725490196,0.39374200000000004
52,139424,4.0,1174,8.673076923076923,6.6324411153005345,670.3076923076923,0.37261
53,142824,2.0,850,8.547169811320755,6.632015083329027,673.6981132075472,0.35731
54,143864,1.0,260,8.407407407407407,6.64863817445046,666.0370370370371,0.35263
55,150452,3.0,1647,8.309090909090909,6.6274161351237915,683.8727272727273,0.32298399999999994
