episode,step,return,length,return_ma,return_std,length_ma,epsilon
1,2976,15.0,744,15.0,0.0,744.0,0.986626
2,6084,22.0,777,18.5,3.5,760.5,0.97264
3,9472,20.0,847,19.0,2.943920288775949,789.3333333333334,0.957394
4,11340,16.0,467,18.25,2.8613807855648994,708.75,0.9489879999999999
5,11848,1.0,127,14.8,7.35934779718964,592.4,0.946702
6,13268,6.0,355,13.333333333333334,7.475887164001934,552.8333333333334,0.940312
7,15372,13.0,526,13.285714285714286,6.922309394048981,549.0,0.930844
8,17624,16.0,563,13.625,6.537153432496441,550.75,0.92071
9,18748,7.0,281,12.88888888888889,6.505458297024199,520.7777777777778,0.915652
10,19728,9.0,245,12.5,6.2809234989768825,493.2,0.911242
11,20492,2.0,191,11.545454545454545,6.7063556878210875,465.72727272727275,0.907804
12,21592,7.0,275,11.166666666666666,6.542595475463507,449.8333333333333,0.902854
13,25940,26.0,1087,12.307692307692308,7.425368319117659,498.84615384615387,0.883288
14,26624,3.0,171,11.642857142857142,7.546116719944134,475.42857142857144,0.8802099999999999
15,29028,21.0,601,12.266666666666667,7.654773383683906,483.8,0.8693919999999999
16,30088,7.0,265,11.9375,7.520544777474568,470.125,0.864622
17,33000,19.0,728,12.352941176470589,7.482852369569714,485.29411764705884,0.851518
18,37488,18.0,1122,12.666666666666666,7.386173268720113,520.6666666666666,0.831322
19,38340,6.0,213,12.31578947368421,7.341680802671161,504.4736842105263,0.827488
20,42096,22.0,939,12.8,7.4605629814377945,526.2,0.810586
21,42860,1.0,191,12.238095238095237,7.702224551293526,510.23809523809524,0.807148
22,44904,16.0,511,12.409090909090908,7.56582682442508,510.27272727272725,0.7979499999999999
23,49012,18.0,1027,12.652173913043478,7.486850476449411,532.7391304347826,0.7794639999999999
24,49580,1.0,142,12.166666666666666,7.690181330039551,516.4583333333334,0.7769079999999999
25,50976,8.0,349,12.0,7.578918128598566,509.76,0.770626
26,51768,2.0,198,11.615384615384615,7.676522264856673,497.7692307692308,0.767062
27,53632,5.0,466,11.37037037037037,7.6359197372154295,496.5925925925926,0.758674
28,54968,6.0,334,11.178571428571429,7.564265479535866,490.7857142857143,0.7526619999999999
29,58536,24.0,892,11.620689655172415,7.792187923030606,504.62068965517244,0.736606
30,60528,6.0,498,11.433333333333334,7.727368389188017,504.4,0.727642
31,62304,11.0,444,11.419354838709678,7.602097306318477,502.4516129032258,0.71965
32,64260,14.0,489,11.5,7.495832175282475,502.03125,0.7108479999999999
33,65860,10.0,400,11.454545454545455,7.385862453859253,498.93939393939394,0.703648
34,66840,3.0,245,11.205882352941176,7.415323608680425,491.47058823529414,0.699238
35,69652,8.0,703,11.114285714285714,7.328111932127942,497.51428571428573,0.686584
36,71368,17.0,429,11.277777777777779,7.290065961868594,495.6111111111111,0.678862
37,72056,6.0,172,11.135135135135135,7.241629509627751,486.86486486486484,0.675766
38,74100,17.0,511,11.289473684210526,7.207115981835123,487.5,0.666568
39,77380,21.0,820,11.538461538461538,7.2778066357940485,496.02564102564105,0.6518079999999999
40,80264,27.0,721,11.925,7.580855822398946,501.65,0.63883
41,83640,34.0,844,12.463414634146341,8.225770216663411,510.0,0.6236379999999999
42,85508,10.0,467,12.404761904761905,8.135927154147607,508.9761904761905,0.615232
43,87668,17.0,540,12.511627906976743,8.070538130881477,509.69767441860466,0.605512
44,88944,9.0,319,12.431818181818182,7.995446793112165,505.3636363636364,0.5997699999999999
45,91400,40.0,614,13.044444444444444,8.889333322222779,507.77777777777777,0.588718
46,94892,38.0,873,13.58695652173913,9.515607515519646,515.7173913043479,0.5730040000000001
47,99312,28.0,1105,13.893617021276595,9.640857299553216,528.2553191489362,0.553114
48,102436,22.0,781,14.0625,9.609904287591354,533.5208333333334,0.539056
49,105600,22.0,791,14.224489795918368,9.577322931571752,538.7755102040817,0.524818
50,106936,3.0,334,14.0,9.61041102138717,534.68,0.518806
51,111368,34.0,1108,14.392156862745098,9.911527120365815,545.9215686274509,0.498862
52,115416,0.0,1012,14.115384615384615,10.012787681747943,554.8846153846154,0.480646
53,116812,0.0,349,13.849056603773585,10.102113035857837,551.0,0.474364
54,119764,20.0,738,13.962962962962964,10.042433973382117,554.4629629629629,0.46107999999999993
55,124412,51.0,1162,14.636363636363637,11.113241301771726,565.5090909090909,0.440164
