episode,step,return,length,return_ma,return_std,length_ma,epsilon
1,584,7.0,146,7.0,0.0,146.0,0.99739
2,1088,4.0,126,5.5,1.5,136.0,0.995122
3,1532,2.0,111,4.333333333333333,2.0548046676563256,127.66666666666667,0.993124
4,1624,0.0,23,3.25,2.5860201081971503,101.5,0.99271
5,2192,3.0,142,3.2,2.3151673805580453,109.6,0.990154
6,2500,1.0,77,2.8333333333333335,2.266911751455907,104.16666666666667,0.988768
7,2792,0.0,73,2.4285714285714284,2.3211538298959886,99.71428571428571,0.987454
8,2888,0.0,24,2.125,2.315032397181517,90.25,0.987022
9,3456,2.0,142,2.111111111111111,2.182986967154278,96.0,0.984466
10,4064,7.0,152,2.6,2.5377155080899043,101.6,0.98173
11,4676,1.0,153,2.4545454545454546,2.4629485789352845,106.27272727272727,0.978976
12,4960,4.0,71,2.5833333333333335,2.396467307424734,103.33333333333333,0.977698
13,5396,1.0,109,2.4615384615384617,2.3407883161081444,103.76923076923077,0.975736
14,5856,2.0,115,2.4285714285714284,2.2587697572631282,104.57142857142857,0.973666
15,6364,2.0,127,2.4,2.1847959477565246,106.06666666666666,0.97138
16,6604,1.0,60,2.3125,2.1423920626253263,103.1875,0.9703
17,6900,0.0,74,2.176470588235294,2.148468513852903,101.47058823529412,0.968968
18,7428,2.0,132,2.1666666666666665,2.088327347690278,103.16666666666667,0.966592
19,7888,5.0,115,2.3157894736842106,2.128815622753335,103.78947368421052,0.964522
20,8324,3.0,109,2.35,2.080264406271472,104.05,0.96256
21,8624,1.0,75,2.2857142857142856,2.050385727772475,102.66666666666667,0.96121
22,8928,1.0,76,2.227272727272727,2.021066734128701,101.45454545454545,0.959842
23,9232,0.0,76,2.130434782608696,2.0281571808157564,100.34782608695652,0.958474
24,9324,0.0,23,2.0416666666666665,2.0305821551685344,97.125,0.95806
25,9772,6.0,112,2.2,2.1354156504062622,97.72,0.956044
26,10076,0.0,76,2.1153846153846154,2.136260627230587,96.88461538461539,0.954676
27,10500,1.0,106,2.074074074074074,2.1068833560485762,97.22222222222223,0.952768
28,10872,3.0,93,2.107142857142857,2.0760416613333743,97.07142857142857,0.951094
29,11152,0.0,70,2.0344827586206895,2.0758506128679186,96.13793103448276,0.949834
30,11684,2.0,133,2.033333333333333,2.040969268645551,97.36666666666666,0.94744
31,11992,0.0,77,1.967741935483871,2.0396690270370628,96.70967741935483,0.946054
32,12080,0.0,22,1.90625,2.0365315950163896,94.375,0.945658
33,12368,0.0,72,1.8484848484848484,2.031885407786692,93.6969696969697,0.944362
34,12660,0.0,73,1.7941176470588236,2.0259988352111202,93.08823529411765,0.943048
35,13160,3.0,125,1.8285714285714285,2.006926780438394,94.0,0.940798
36,13472,6.0,78,1.9444444444444444,2.0942307583300845,93.55555555555556,0.939394
37,13960,6.0,122,2.054054054054054,2.1678977978546463,94.32432432432432,0.937198
38,14556,3.0,149,2.0789473684210527,2.144535024408351,95.76315789473684,0.934516
39,14932,1.0,94,2.051282051282051,2.1237209477793493,95.71794871794872,0.932824
40,15056,2.0,31,2.05,2.097021697551077,94.1,0.932266
41,15544,1.0,122,2.024390243902439,2.077613603809449,94.78048780487805,0.93007
42,15840,0.0,74,1.9761904761904763,2.0758027160835333,94.28571428571429,0.928738
43,16132,0.0,73,1.930232558139535,2.0730311347038652,93.79069767441861,0.927424
44,16420,6.0,72,2.022727272727273,2.1372096970714405,93.29545454545455,0.926128
45,16972,2.0,138,2.022222222222222,2.11333216497222,94.28888888888889,0.923644
46,17288,0.0,79,1.9782608695652173,2.110935609946067,93.95652173913044,0.922222
47,17584,1.0,74,1.9574468085106382,2.0931239689273844,93.53191489361703,0.92089
48,17876,2.0,73,1.9583333333333333,2.0712147536060947,93.10416666666667,0.919576
49,18520,2.0,161,1.9591836734693877,2.049979429199622,94.48979591836735,0.916678
50,18816,0.0,74,1.92,2.047828117787233,94.08,0.915346
51,19524,2.0,177,1.9215686274509804,2.027682316987453,95.70588235294117,0.91216
52,19616,0.0,23,1.8846153846153846,2.025357007027936,94.3076923076923,0.911746
53,20196,7.0,145,1.9811320754716981,2.1234589620918376,95.26415094339623,0.9091359999999999
54,20676,6.0,120,2.0555555555555554,2.1723571995574615,95.72222222222223,0.906976
55,21232,4.0,139,2.090909090909091,2.168138936111104,96.50909090909092,0.904474
56,21552,3.0,80,2.107142857142857,2.15206355645469,96.21428571428571,0.903034
57,21836,0.0,71,2.0701754385964914,2.1509659121395233,95.7719298245614,0.901756
58,22140,0.0,76,2.0344827586206895,2.149302350654817,95.43103448275862,0.900388
59,22436,0.0,74,2.0,2.1471305250322867,95.0677966101695,0.899056
60,22812,2.0,94,2.0,2.1291625896895083,95.05,0.897364
61,23116,0.0,76,1.9672131147540983,2.126855703636309,94.73770491803279,0.895996
62,23420,1.0,76,1.9516129032258065,2.11314945622633,94.43548387096774,0.894628
63,23724,0.0,76,1.9206349206349207,2.1104546061204053,94.14285714285714,0.8932599999999999
64,23812,0.0,22,1.890625,2.1074064888803488,93.015625,0.892864
65,24516,2.0,176,1.8923076923076922,2.09117616462107,94.29230769230769,0.889696
66,25012,2.0,124,1.893939393939394,2.0753151486036705,94.74242424242425,0.887464
67,25536,1.0,131,1.8805970149253732,2.062619607095108,95.28358208955224,0.885106
68,25628,0.0,23,1.8529411764705883,2.0598736817521326,94.22058823529412,0.884692
69,26108,6.0,120,1.9130434782608696,2.104096283923976,94.59420289855072,0.882532
70,26424,0.0,79,1.8857142857142857,2.1013115437939303,94.37142857142857,0.88111
71,27024,3.0,150,1.9014084507042253,2.0905887679188133,95.15492957746478,0.87841
72,27308,1.0,71,1.8888888888888888,2.078698548207745,94.81944444444444,0.877132
73,27720,2.0,103,1.8904109589041096,2.0644521900037818,94.93150684931507,0.875278
74,28432,5.0,178,1.9324324324324325,2.081651378509581,96.05405405405405,0.872074
75,28940,2.0,127,1.9333333333333333,2.0677416559027764,96.46666666666667,0.869788
76,29240,2.0,75,1.9342105263157894,2.0541070945008366,96.1842105263158,0.868438
77,29988,2.0,187,1.9350649350649352,2.040738740302895,97.36363636363636,0.8650720000000001
78,30280,0.0,73,1.9102564102564104,2.0392677006137765,97.05128205128206,0.863758
79,30876,6.0,149,1.9620253164556962,2.077261086048704,97.70886075949367,0.861076
80,31168,6.0,73,2.0125,2.112426034208062,97.4,0.859762
81,31616,1.0,112,2.0,2.102320880936056,97.58024691358025,0.857746
82,31908,0.0,73,1.975609756097561,2.1009615090105394,97.28048780487805,0.856432
83,32204,0.0,74,1.9518072289156627,2.0993608577450615,97.0,0.8551
84,32452,1.0,62,1.9404761904761905,2.0893789831304876,96.58333333333333,0.853984
