episode,step,return,length,return_ma,return_std,length_ma,epsilon
1,892,0.0,223,0.0,0.0,223.0,0.996004
2,1120,0.0,57,0.0,0.0,140.0,0.994978
3,2124,2.0,251,0.6666666666666666,0.9428090415820634,177.0,0.99046
4,3048,0.0,231,0.5,0.8660254037844386,190.5,0.986302
5,3272,0.0,56,0.4,0.8000000000000002,163.6,0.985294
6,3496,0.0,56,0.3333333333333333,0.74535599249993,145.66666666666666,0.984286
7,4120,0.0,156,0.2857142857142857,0.6998542122237653,147.14285714285714,0.981478
8,4360,0.0,60,0.25,0.6614378277661477,136.25,0.980398
9,4616,0.0,64,0.2222222222222222,0.6285393610547089,128.22222222222223,0.979246
10,6012,0.0,349,0.2,0.6000000000000001,150.3,0.972964
11,7032,0.0,255,0.18181818181818182,0.5749595745760688,159.8181818181818,0.968374
12,7272,0.0,60,0.16666666666666666,0.5527707983925666,151.5,0.967294
13,8460,0.0,297,0.15384615384615385,0.5329387100211931,162.69230769230768,0.961948
14,8708,0.0,62,0.14285714285714285,0.5150787536377127,155.5,0.960832
15,9464,0.0,189,0.13333333333333333,0.4988876515698589,157.73333333333332,0.95743
16,10120,0.0,164,0.125,0.4841229182759271,158.125,0.954478
17,10868,0.0,187,0.11764705882352941,0.4705882352941177,159.8235294117647,0.951112
18,11612,0.0,186,0.1111111111111111,0.4581228472908512,161.27777777777777,0.947764
19,12292,0.0,170,0.10526315789473684,0.4465937565388721,161.73684210526315,0.944704
20,12536,0.0,61,0.1,0.4358898943540673,156.7,0.943606
21,12776,0.0,60,0.09523809523809523,0.42591770999996,152.0952380952381,0.942526
22,13400,0.0,156,0.09090909090909091,0.416597790450531,152.27272727272728,0.939718
23,13644,0.0,61,0.08695652173913043,0.4078622399846461,148.30434782608697,0.93862
24,13888,0.0,61,0.08333333333333333,0.3996526269427267,144.66666666666666,0.937522
25,14516,0.0,157,0.08,0.39191835884530857,145.16,0.934696
26,14772,0.0,64,0.07692307692307693,0.3846153846153846,142.03846153846155,0.933544
27,15012,0.0,60,0.07407407407407407,0.37770514915502107,139.0,0.932464
28,16188,1.0,294,0.10714285714285714,0.4087686836521285,144.53571428571428,0.927172
29,16952,0.0,191,0.10344827586206896,0.4021346134376069,146.13793103448276,0.923734
30,17432,0.0,120,0.1,0.3958114029012639,145.26666666666668,0.921574
31,18672,0.0,310,0.0967741935483871,0.3897756765675669,150.58064516129033,0.915994
32,19248,0.0,144,0.09375,0.38400642898264087,150.375,0.913402
33,20012,0.0,191,0.09090909090909091,0.37848472717566056,151.6060606060606,0.909964
34,21040,0.0,257,0.08823529411764706,0.3731934570720447,154.7058823529412,0.905338
35,21272,0.0,58,0.08571428571428572,0.3681171064778607,151.94285714285715,0.904294
36,22020,0.0,187,0.08333333333333333,0.3632415786283895,152.91666666666666,0.900928
37,22796,0.0,194,0.08108108108108109,0.35855403138977293,154.02702702702703,0.897436
38,23820,0.0,256,0.07894736842105263,0.35404273808088704,156.71052631578948,0.892828
39,24060,0.0,60,0.07692307692307693,0.349696966589381,154.23076923076923,0.891748
40,25336,0.0,319,0.075,0.34550687402713137,158.35,0.886006
41,26096,0.0,190,0.07317073170731707,0.3414634146341463,159.1219512195122,0.882586
42,26336,0.0,60,0.07142857142857142,0.3375582590180435,156.76190476190476,0.881506
43,26960,0.0,156,0.06976744186046512,0.3337837231257518,156.74418604651163,0.878698
44,27704,0.0,186,0.06818181818181818,0.3301327055984989,157.4090909090909,0.87535
