episode,step,return,length,return_ma,return_std,length_ma,epsilon
1,204,0.0,51,0.0,0.0,51.0,0.9991
2,328,0.0,31,0.0,0.0,41.0,0.998542
3,360,0.0,8,0.0,0.0,30.0,0.998398
4,604,0.0,61,0.0,0.0,37.75,0.9973
5,992,0.0,97,0.0,0.0,49.6,0.995554
6,1036,0.0,11,0.0,0.0,43.166666666666664,0.995356
7,1156,0.0,30,0.0,0.0,41.285714285714285,0.994816
8,1272,0.0,29,0.0,0.0,39.75,0.994294
9,1568,0.0,74,0.0,0.0,43.55555555555556,0.992962
10,1700,0.0,33,0.0,0.0,42.5,0.992368
11,2248,0.0,137,0.0,0.0,51.09090909090909,0.989902
12,2756,0.0,127,0.0,0.0,57.416666666666664,0.987616
13,2872,0.0,29,0.0,0.0,55.23076923076923,0.987094
14,2996,0.0,31,0.0,0.0,53.5,0.986536
15,3412,0.0,104,0.0,0.0,56.86666666666667,0.984664
16,3556,0.0,36,0.0,0.0,55.5625,0.984016
17,3680,0.0,31,0.0,0.0,54.11764705882353,0.9834579999999999
18,4212,0.0,133,0.0,0.0,58.5,0.981064
19,5012,0.0,200,0.0,0.0,65.94736842105263,0.977464
20,5128,0.0,29,0.0,0.0,64.1,0.976942
21,5152,0.0,6,0.0,0.0,61.333333333333336,0.976834
22,5916,0.0,191,0.0,0.0,67.22727272727273,0.973396
23,6160,0.0,61,0.0,0.0,66.95652173913044,0.972298
24,6436,0.0,69,0.0,0.0,67.04166666666667,0.971056
25,6736,0.0,75,0.0,0.0,67.36,0.969706
26,6932,0.0,49,0.0,0.0,66.65384615384616,0.968824
27,7032,0.0,25,0.0,0.0,65.11111111111111,0.968374
28,7356,0.0,81,0.0,0.0,65.67857142857143,0.966916
29,7632,0.0,69,0.0,0.0,65.79310344827586,0.965674
30,7672,0.0,10,0.0,0.0,63.93333333333333,0.965494
31,7800,0.0,32,0.0,0.0,62.903225806451616,0.9649179999999999
32,7956,0.0,39,0.0,0.0,62.15625,0.964216
33,8076,0.0,30,0.0,0.0,61.18181818181818,0.963676
34,9772,1.0,424,0.029411764705882353,0.1689577248981773,71.8529411764706,0.956044
35,9904,0.0,33,0.02857142857142857,0.16659862556700858,70.74285714285715,0.95545
36,10172,0.0,67,0.027777777777777776,0.16433554953054488,70.63888888888889,0.954244
37,10292,0.0,30,0.02702702702702703,0.16216216216216217,69.54054054054055,0.953704
38,10776,0.0,121,0.02631578947368421,0.16007269816574263,70.89473684210526,0.951526
