episode,step,return,length,return_ma,return_std,length_ma,epsilon
1,568,5.0,142,5.0,0.0,142.0,0.997462
2,996,2.0,107,3.5,1.5,124.5,0.995536
3,1524,5.0,132,4.0,1.4142135623730951,127.0,0.99316
4,1856,1.0,83,3.25,1.7853571071357126,116.0,0.991666
5,2032,2.0,44,3.0,1.6733200530681511,101.6,0.990874
6,2324,0.0,73,2.5,1.8929694486000912,96.83333333333333,0.98956
7,2676,2.0,88,2.4285714285714284,1.761261143705422,95.57142857142857,0.987976
8,3000,1.0,81,2.25,1.713913650100261,93.75,0.986518
9,3316,1.0,79,2.111111111111111,1.6629588385661962,92.11111111111111,0.985096
10,3496,2.0,45,2.1,1.57797338380595,87.4,0.984286
11,3792,1.0,74,2.0,1.5374122295716148,86.18181818181819,0.982954
12,4156,1.0,91,1.9166666666666667,1.4976833963009524,86.58333333333333,0.981316
13,4576,3.0,105,2.0,1.4675987714106855,88.0,0.979426
14,4880,1.0,76,1.9285714285714286,1.4374722712498647,87.14285714285714,0.978058
15,5104,2.0,56,1.9333333333333333,1.3888444437333107,85.06666666666666,0.97705
16,5756,6.0,163,2.1875,1.6665364532466729,89.9375,0.974116
17,6312,5.0,139,2.3529411764705883,1.7469696946961761,92.82352941176471,0.971614
18,6620,1.0,77,2.2777777777777777,1.7258027296676741,91.94444444444444,0.970228
19,6964,1.0,86,2.210526315789474,1.7038330585514365,91.63157894736842,0.96868
20,7064,1.0,25,2.15,1.6815171720800235,88.3,0.96823
21,7592,4.0,132,2.238095238095238,1.687623347301843,90.38095238095238,0.965854
22,7908,1.0,79,2.1818181818181817,1.6688690682441656,89.86363636363636,0.964432
23,8484,5.0,144,2.3043478260869565,1.7304129340984693,92.21739130434783,0.96184
24,9192,9.0,177,2.5833333333333335,2.158638974498103,95.75,0.958654
25,9388,2.0,49,2.56,2.1181123671797963,93.88,0.957772
26,9748,1.0,90,2.5,2.098534287031345,93.73076923076923,0.956152
27,10168,3.0,105,2.5185185185185186,2.061469637048259,94.14814814814815,0.9542619999999999
28,10492,1.0,81,2.4642857142857144,2.0438434182606424,93.67857142857143,0.952804
29,10948,3.0,114,2.4827586206896552,2.010673067188035,94.37931034482759,0.950752
30,11144,2.0,49,2.466666666666667,1.978776277287444,92.86666666666666,0.94987
31,11808,7.0,166,2.6129032258064515,2.104946851751671,95.2258064516129,0.946882
32,12152,2.0,86,2.59375,2.0745387288503436,94.9375,0.945334
33,12444,0.0,73,2.515151515151515,2.0906894922012533,94.27272727272727,0.94402
34,12784,2.0,85,2.5,2.0615528128088303,94.0,0.94249
35,13260,6.0,119,2.6,2.1138995786393044,94.71428571428571,0.940348
36,13580,1.0,80,2.5555555555555554,2.1008522667987815,94.30555555555556,0.938908
37,13944,2.0,91,2.5405405405405403,2.07422528155134,94.21621621621621,0.93727
38,14312,1.0,92,2.5,2.0615528128088303,94.15789473684211,0.935614
39,14644,2.0,83,2.4871794871794872,2.0364850924784386,93.87179487179488,0.93412
40,14796,1.0,38,2.45,2.0242282479997162,92.475,0.933436
41,15104,1.0,77,2.4146341463414633,2.011862500224515,92.09756097560975,0.93205
42,15444,1.0,85,2.380952380952381,1.9994330262111442,91.92857142857143,0.93052
43,15792,2.0,87,2.372093023255814,1.9768809802189218,91.81395348837209,0.9289540000000001
44,16172,3.0,95,2.3863636363636362,1.9565264802114473,91.88636363636364,0.927244
45,16376,2.0,51,2.3777777777777778,1.9355032522592601,90.97777777777777,0.926326
46,16664,0.0,72,2.3260869565217392,1.9455003584200328,90.56521739130434,0.92503
47,17776,16.0,278,2.617021276595745,2.756448466502408,94.55319148936171,0.920026
48,18252,4.0,119,2.6458333333333335,2.7347271598623673,95.0625,0.917884
49,18592,2.0,85,2.63265306122449,2.7082178608218177,94.85714285714286,0.916354
50,18772,1.0,45,2.6,2.6907248094147422,93.86,0.915544
51,19308,4.0,134,2.627450980392157,2.671276292694338,94.6470588235294,0.913132
52,19708,2.0,100,2.6153846153846154,2.646869312936193,94.75,0.911332
53,20144,3.0,109,2.6226415094339623,2.6223021363157266,95.01886792452831,0.90937
54,20464,1.0,80,2.5925925925925926,2.6071022548708247,94.74074074074075,0.90793
55,20632,2.0,42,2.581818181818182,2.584505643539515,93.78181818181818,0.907174
56,20976,2.0,86,2.5714285714285716,2.5624844449502997,93.64285714285714,0.905626
57,21348,2.0,93,2.56140350877193,2.54101474314888,93.63157894736842,0.903952
58,21660,1.0,78,2.5344827586206895,2.527200422174835,93.36206896551724,0.902548
59,22012,2.0,88,2.5254237288135593,2.506641565740495,93.27118644067797,0.900964
60,22328,4.0,79,2.55,2.4928230315581303,93.03333333333333,0.899542
61,23340,13.0,253,2.721311475409836,2.8059138223389732,95.65573770491804,0.894988
62,23736,3.0,99,2.725806451612903,2.7834149067618688,95.70967741935483,0.8932059999999999
63,24244,4.0,127,2.746031746031746,2.765824622108573,96.2063492063492,0.89092
64,24588,1.0,86,2.71875,2.752662063802965,96.046875,0.889372
65,24760,2.0,43,2.707692307692308,2.732837786416147,95.23076923076923,0.888598
66,25056,0.0,74,2.6666666666666665,2.7321505201299696,94.9090909090909,0.887266
67,25456,3.0,100,2.671641791044776,2.7119858874588374,94.98507462686567,0.885466
68,25780,1.0,81,2.6470588235294117,2.699480918960886,94.77941176470588,0.884008
69,26248,5.0,117,2.681159420289855,2.694561100682226,95.10144927536231,0.881902
70,26492,3.0,61,2.6857142857142855,2.6755125391107355,94.61428571428571,0.880804
71,26764,0.0,68,2.647887323943662,2.6753890939834366,94.2394366197183,0.87958
72,27116,2.0,88,2.638888888888889,2.6578267832717284,94.15277777777777,0.877996
73,27592,3.0,119,2.643835616438356,2.639893433993323,94.4931506849315,0.875854
74,28140,5.0,137,2.675675675675676,2.636070520055491,95.06756756756756,0.873388
75,28572,6.0,108,2.72,2.6460536653665963,95.24,0.871444
76,29072,4.0,125,2.736842105263158,2.632631368505221,95.63157894736842,0.869194
77,29396,2.0,81,2.727272727272727,2.616810607741544,95.44155844155844,0.8677360000000001
78,29716,1.0,80,2.7051282051282053,2.607233401367141,95.24358974358974,0.866296
79,30176,3.0,115,2.7088607594936707,2.590889093934315,95.49367088607595,0.8642259999999999
80,30724,7.0,137,2.7625,2.618414357965523,96.0125,0.86176
81,31084,1.0,90,2.740740740740741,2.609468882045709,95.93827160493827,0.86014
82,31484,3.0,100,2.7439024390243905,2.5936647751958257,95.98780487804878,0.85834
83,31964,3.0,120,2.746987951807229,2.5781443475808867,96.27710843373494,0.8561799999999999
84,32444,4.0,120,2.761904761904762,2.566353015556027,96.55952380952381,0.85402
85,32660,2.0,54,2.7529411764705882,2.5525345298255133,96.05882352941177,0.853048
86,32936,0.0,69,2.7209302325581395,2.5547546316017598,95.74418604651163,0.8518060000000001
