episode,step,return,length,return_ma,return_std,length_ma,epsilon
1,568,5.0,142,5.0,0.0,142.0,0.997462
2,996,2.0,107,3.5,1.5,124.5,0.995536
3,1524,5.0,132,4.0,1.4142135623730951,127.0,0.99316
4,1856,1.0,83,3.25,1.7853571071357126,116.0,0.991666
5,2032,2.0,44,3.0,1.6733200530681511,101.6,0.990874
6,2324,0.0,73,2.5,1.8929694486000912,96.83333333333333,0.98956
7,2676,2.0,88,2.4285714285714284,1.761261143705422,95.57142857142857,0.987976
8,3000,1.0,81,2.25,1.713913650100261,93.75,0.986518
9,3316,1.0,79,2.111111111111111,1.6629588385661962,92.11111111111111,0.985096
10,3496,2.0,45,2.1,1.57797338380595,87.4,0.984286
11,3792,1.0,74,2.0,1.5374122295716148,86.18181818181819,0.982954
12,4156,1.0,91,1.9166666666666667,1.4976833963009524,86.58333333333333,0.981316
13,4576,3.0,105,2.0,1.4675987714106855,88.0,0.979426
14,4880,1.0,76,1.9285714285714286,1.4374722712498647,87.14285714285714,0.978058
15,5104,2.0,56,1.9333333333333333,1.3888444437333107,85.06666666666666,0.97705
16,5756,6.0,163,2.1875,1.6665364532466729,89.9375,0.974116
17,6312,5.0,139,2.3529411764705883,1.7469696946961761,92.82352941176471,0.971614
18,6620,1.0,77,2.2777777777777777,1.7258027296676741,91.94444444444444,0.970228
19,6964,1.0,86,2.210526315789474,1.7038330585514365,91.63157894736842,0.96868
20,7064,1.0,25,2.15,1.6815171720800235,88.3,0.96823
21,7592,4.0,132,2.238095238095238,1.687623347301843,90.38095238095238,0.965854
22,7908,1.0,79,2.1818181818181817,1.6688690682441656,89.86363636363636,0.964432
23,8760,10.0,213,2.5217391304347827,2.281676828417726,95.21739130434783,0.960598
24,9380,7.0,155,2.7083333333333335,2.406227452996818,97.70833333333333,0.957808
25,9720,5.0,85,2.8,2.4000000000000004,97.2,0.956278
26,10024,0.0,76,2.6923076923076925,2.414208434842341,96.38461538461539,0.95491
27,10460,3.0,109,2.7037037037037037,2.3697915960068725,96.85185185185185,0.952948
28,11112,8.0,163,2.892857142857143,2.5261388621808596,99.21428571428571,0.950014
29,11456,1.0,86,2.8275862068965516,2.5061161807733274,98.75862068965517,0.948466
30,11708,3.0,63,2.8333333333333335,2.4641879437701624,97.56666666666666,0.947332
31,12100,2.0,98,2.806451612903226,2.4285845451249948,97.58064516129032,0.945568
32,12528,2.0,107,2.78125,2.3944515943113154,97.875,0.943642
33,12904,2.0,94,2.757575757575758,2.361693062836208,97.75757575757575,0.94195
34,13240,2.0,84,2.735294117647059,2.330221190326736,97.3529411764706,0.940438
35,13644,5.0,101,2.8,2.32747564050472,97.45714285714286,0.93862
36,13968,1.0,81,2.75,2.3139072294858036,97.0,0.937162
37,14560,6.0,148,2.8378378378378377,2.34248093838059,98.37837837837837,0.934498
38,15048,4.0,122,2.8684210526315788,2.3189273000063375,99.0,0.932302
39,15708,7.0,165,2.9743589743589745,2.3803380441590103,100.6923076923077,0.929332
40,15988,4.0,70,3.0,2.355843797877949,99.925,0.928072
41,16348,1.0,90,2.951219512195122,2.3472996370213877,99.6829268292683,0.926452
42,17320,13.0,243,3.1904761904761907,2.7795005995261883,103.0952380952381,0.922078
43,17860,5.0,135,3.2325581395348837,2.760495483855613,103.83720930232558,0.919648
44,18228,2.0,92,3.2045454545454546,2.7351212824575195,103.56818181818181,0.917992
45,18360,1.0,33,3.1555555555555554,2.7240130164116776,102.0,0.9173979999999999
46,18808,3.0,112,3.152173913043478,2.694336986318009,102.21739130434783,0.915382
47,19484,7.0,169,3.234042553191489,2.7227392805185344,103.63829787234043,0.91234
48,20200,10.0,179,3.375,2.8622907492659326,105.20833333333333,0.909118
49,20688,4.0,122,3.3877551020408165,2.834311106817505,105.55102040816327,0.906922
50,20976,5.0,72,3.42,2.8148889853775763,104.88,0.905626
51,21364,2.0,97,3.392156862745098,2.794100447143483,104.72549019607843,0.90388
52,21660,0.0,74,3.326923076923077,2.806045354684129,104.13461538461539,0.902548
53,22144,4.0,121,3.339622641509434,2.780955423078144,104.45283018867924,0.90037
54,22652,4.0,127,3.3518518518518516,2.7565236252516767,104.87037037037037,0.898084
55,22776,1.0,31,3.309090909090909,2.7493650656947706,103.52727272727273,0.897526
56,23120,1.0,86,3.267857142857143,2.741812952282873,103.21428571428571,0.8959779999999999
57,23472,2.0,88,3.245614035087719,2.7227482359363018,102.94736842105263,0.894394
58,23780,1.0,77,3.206896551724138,2.7149561544034073,102.5,0.893008
59,24180,2.0,100,3.1864406779661016,2.6963539491992243,102.45762711864407,0.891208
60,24424,3.0,61,3.183333333333333,2.6738964494202504,101.76666666666667,0.89011
61,24784,1.0,90,3.1475409836065573,2.6663419133974577,101.57377049180327,0.88849
62,25160,2.0,94,3.129032258064516,2.648699443291915,101.45161290322581,0.886798
63,25608,3.0,112,3.126984126984127,2.627643421800036,101.61904761904762,0.884782
64,26004,2.0,99,3.109375,2.610778065898172,101.578125,0.883
65,26228,3.0,56,3.1076923076923078,2.5906522904359104,100.87692307692308,0.881992
66,26524,1.0,74,3.0757575757575757,2.583810939587786,100.46969696969697,0.88066
67,26888,1.0,91,3.044776119402985,2.5767782488812125,100.32835820895522,0.879022
68,27212,2.0,81,3.0294117647058822,2.5608511236517932,100.04411764705883,0.877564
69,27632,3.0,105,3.028985507246377,2.54222893467754,100.1159420289855,0.875674
70,27836,2.0,51,3.0142857142857142,2.526956707995139,99.41428571428571,0.874756
71,28152,1.0,79,2.9859154929577465,2.5203004389789947,99.12676056338029,0.873334
72,28948,10.0,199,3.0833333333333335,2.6339134382131846,100.51388888888889,0.869752
73,29344,2.0,99,3.0684931506849313,2.618839893338153,100.4931506849315,0.86797
74,29708,2.0,91,3.054054054054054,2.6040088216102695,100.36486486486487,0.866332
75,29816,1.0,27,3.026666666666667,2.597297741029233,99.38666666666667,0.865846
76,30224,2.0,102,3.013157894736842,2.5828045805645155,99.42105263157895,0.86401
77,31340,16.0,279,3.1818181818181817,2.957391236881098,101.75324675324676,0.858988
78,31816,3.0,119,3.1794871794871793,2.938443638912682,101.97435897435898,0.856846
79,32208,2.0,98,3.1645569620253164,2.9227626074338566,101.92405063291139,0.855082
80,32452,3.0,61,3.1625,2.90449543810969,101.4125,0.853984
81,32984,4.0,133,3.1728395061728394,2.8879918413105496,101.80246913580247,0.85159
82,33404,3.0,105,3.1707317073170733,2.870390803887761,101.84146341463415,0.8497
83,33804,2.0,100,3.1566265060240966,2.8559045903490805,101.81927710843374,0.8479
84,34432,7.0,157,3.2023809523809526,2.8692945951789097,102.47619047619048,0.845074
85,35324,15.0,223,3.3411764705882354,3.123169359994919,103.89411764705882,0.84106
86,35600,0.0,69,3.302325581395349,3.125550249014249,103.48837209302326,0.839818
